"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,4038.425,34769.596,85.125,588.808,126.399,6.037,12027440.953,9.933
2,1,4404.265,35047.213,6.884,76.473,136.791,10.388,35610512.614,6.531
3,1,4527.286,34393.453,179.126,7141.135,0,15.607,80388323.736,7.582
4,1,4611.154,35133.767,153.297,4026.72,0,11.908,46796670.432,7.909
5,1,5010.616,35141.841,181.187,6026.643,0,9.6,30413611.063,6.61
6,1,5158.459,34465.653,129.553,3577.746,25.709,11.149,41018672.664,6.43
7,1,5641.572,34542.794,166.982,5041.85,0,11.16,41098709.315,7.269
8,1,5842.472,35281.337,5.706,86.7,122.524,9.764,31464542.903,5.523
9,1,6209.365,34645.072,214.456,9464.886,0,9.658,30781668.158,6.075
10,1,6653.706,34821.168,258.371,10752.063,0,5.635,10478251.527,5.861
11,1,6845.547,35359.16,153.49,4494.993,0,10.322,35161494.483,6.687
12,1,7174.054,34805.022,171.862,5435.072,0,7.775,19949350.202,6.006
13,1,7551.091,35550.862,168.411,6002.775,0,12.067,48051900.895,6.715
14,1,7691.837,34964.682,209.446,6728.769,0,8.083,21563084.871,6.937
15,1,7969.29,35570.964,254.404,10574.186,0,8.066,21471341.253,6.608
16,1,8152.725,34991.046,215.883,8604.047,0,5.782,11031774.612,5.418
17,1,8677.455,34953.367,117.841,1558.528,71.777,9.726,31220265.556,9.915
18,1,8762.509,35562.819,185.642,6732.285,0,4.517,6732202.093,4.968
19,1,9103.386,34975.481,63.335,104.851,157.352,2.918,2810599.916,16.718
20,1,10780.455,18513.307,131.524,1763.673,81.382,5.586,10297092.1,8.001
21,1,11058.738,17941.744,138.238,2522.579,126.205,9.759,31431040.567,8.665
22,1,11362.641,17482.292,4.41,22.985,173.139,9.916,32450237.212,16.745
23,1,11576.253,18259.527,62.064,196.4,155.325,4.763,7485481.348,12.894
24,1,11897.607,16458.62,161.219,4180.318,0,5.457,9827983.486,5.843
25,1,11876.929,17877.523,88.565,727.339,144.139,12.737,53536877.581,14.411
26,1,12130.404,16059.084,182.345,5762.476,0,9.908,32396379.423,7.019
27,1,12215.823,17190.285,192.222,7694.689,0,8.047,21371944.634,5.576
28,1,12401.982,15753.433,284.126,14933.355,0,10.203,34352225.791,6.749
29,1,12526.396,15467.157,180.41,6226.172,0,8.597,24388022.058,6.089
30,1,12740.291,16012.607,280.521,17539.641,0,7.531,18716763.083,5.181
31,1,12992.14,15191.189,203.424,3882.919,0,4.22,5877780.283,7.653
32,1,12960.468,15682.163,9.202,151.926,120.779,7.435,18243406.119,3.636
33,1,18809.421,4642.621,217.021,7756.014,0,10.239,34600931.723,7.417
34,1,18760.181,13600.741,2.588,43.713,174.592,6.745,15014663.717,7.233
35,1,18904.892,5386.47,177.771,4415.982,0,3.143,3259111.718,5.708
36,1,18949.111,13937.741,190.299,8763.587,0,13.402,59274963.654,6.408
37,1,19153.92,13050.353,159.223,4472.893,38.143,4.803,7613776.355,5.351
38,1,19151.196,14277.747,178.089,7814.285,0,10.359,35410361.142,5.514
39,1,19386.046,3575.712,223.418,8734.111,0,9.72,31178824.55,6.879
40,1,19273.93,4783.986,10.218,43.452,118.921,9.085,27239580.14,10.723
41,1,19333.586,14578.709,176.659,6237.96,0,13.404,59296895.128,7.494
42,1,19618.366,13734.819,161.591,5076.599,0,13.837,63183039.748,7.844
43,1,19737.088,15110.229,59.526,216.484,128.159,11.731,45411817.665,20.681
44,1,20091.222,15535.359,176.197,6421.797,0,15.47,78981774.098,8.021
45,1,20162.074,2621.65,178.573,5003.054,0,7.365,17901608.219,6.568
46,1,20198.851,3300.428,163.554,3207.553,0,4.791,7575744.454,6.797
47,1,20606.481,15940.642,232.013,12550.052,0,7.225,17229174.789,4.968
48,1,20717.421,2880.4,3.219,55.856,124.536,10.633,37314711.185,7.904
49,1,20701.531,15599.335,179.081,7298.949,0,7.718,19658976.145,5.173
50,1,20815.468,2295.703,225.748,5754.598,0,3.389,3790027.697,6.508
51,1,20874.226,2483.703,139.023,1721.495,46.033,7.624,19180701.453,10.242
52,1,24639.423,29452.711,164.963,2404.701,0,6.541,14118089.079,9.458
53,1,25121.899,28580.454,72.442,195.723,61.142,2.788,2564571.172,12.732
54,1,25245.854,27163.824,153.134,2126.629,0,4.542,6807941.399,8.027
55,1,25193.861,29960.59,155.886,2033.179,0,3.64,4373867.822,7.943
56,1,30052.755,27432.37,61.877,224.223,152.026,5.86,11333476.817,12.961
57,1,30467.769,27803.862,230.974,9476.374,0,9.89,32280073.238,6.86
58,1,31121.027,28423.728,200.201,9893.832,0,13.953,64251512.255,6.458
59,1,31415.121,28742.573,199.763,10976.424,0,11.626,44605464.244,5.364
60,1,31626.316,28175.393,196.943,9803.272,0,10.842,38793726.092,5.522
61,1,31783.353,29128.596,84.944,806.257,126.173,5.082,8524361.411,7.4
62,1,32025.758,28642.792,47.66,212.134,218.221,3.011,2991766.59,7.651
63,1,32548.488,29758.642,244.191,11473.563,0,11.375,42700838.992,6.96
64,1,32873.599,29378.44,46.655,104.627,156.728,5.924,11581644.861,16.093
65,1,33183.867,30192.45,81.681,229.866,153.714,4.593,6961737.222,16.613
66,1,33439.225,29681.025,4.521,59.844,139.463,8.319,22840701.59,6.564
67,1,33636.879,30490.249,162.845,5373.375,0,10.818,38619990.762,6.539
68,1,33863.185,29999.374,178.308,7001.017,0,8.148,21910128.736,5.396
69,1,34300.755,30844.571,180.768,7533.112,0,7.197,17092013.049,5.012
70,1,34767.351,30541.987,61.433,217.866,146.786,13.607,61098880.783,24.626
71,1,34883.122,30873.194,217.906,8253.466,0,5.401,9627485.683,5.529
72,2,4087.237,34734.1,138.028,1953.594,98.24,11.153,41052308.61,11.659
73,2,4465.037,35061.128,154.584,4096.404,0,7.554,18831620.722,6.25
74,2,4562.547,34479.509,6.246,52.158,183.146,5.385,9571402.697,6.148
75,2,4980.597,35129.095,80.726,238.418,148.409,4.727,7375151.667,16.127
76,2,5150.398,34492.856,149.847,4984.963,0,7.806,20109111.902,5.298
77,2,5554.903,35251.654,207.344,6131.695,0,6.27,12975789.857,6.583
78,2,5794.495,34583.491,208.741,7522.063,0,7.586,18991263.221,6.202
79,2,5952.455,35255.93,97.782,727.224,93.705,4.066,5455755.996,8.817
80,2,6335.358,34689.16,35.32,80.334,174.941,11.832,46202409.522,23.107
81,2,6377.679,35303.203,152.919,3671.586,0,5.396,9608318.325,5.92
82,2,6757.441,34809.32,178.38,5301.808,0,6.37,13389400.337,5.973
83,2,6881.429,35296.117,8.749,86.886,168.969,9.525,29943557.385,5.947
84,2,7516.283,35520.029,6.492,61.444,177.903,8.619,24518388.459,6.879
85,2,7683.114,34880.793,11.162,89.217,120.83,7.893,20557766.901,5.758
86,2,8043.897,35622.66,150.966,4260.349,0,10.004,33028317.638,6.684
87,2,8087.303,34953.336,185.367,6474.516,0,11.059,40358666.415,6.987
88,2,8601.278,34968.191,215.519,7468.489,0,5.237,9052205.659,5.761
89,2,8750.974,35571.893,175.89,6593.088,0,6.662,14649091.122,5.155
90,2,9533.634,35445.978,103.039,1463.275,117.668,12.656,52860813.939,10.034
91,2,10781.984,18527.1,175.509,5405.089,0,3.839,4864018.026,5.154
92,2,11038.355,17950.945,94.199,656.363,180.612,4.367,6294520.324,9.215
93,2,11384.569,17546.405,221.401,9490.871,0,11.183,41272152.563,6.866
94,2,11695.287,17054.236,253.754,12420.959,0,8.278,22615854.696,5.934
95,2,11843.169,16480.079,1.727,51.119,136.912,5.327,9364005.614,5.76
96,2,12138.595,16040.403,159.427,4859.429,0,12.099,48312018.533,7.303
97,2,12221.251,17196.71,52.75,246.939,160.947,4.065,5452290.698,8.384
98,2,12734.284,16035.699,186.867,6985.947,0,5.218,8986127.832,5.036
99,2,12993.567,15201.308,97.851,398.572,65.252,2.044,1378617.514,10.867
100,2,12924.648,15750.454,201.924,6023.757,0,5.239,9058708.182,6.082
101,2,18497.545,12998.143,267.631,16827.727,0,12.536,51858498.256,6.284
102,2,18812.249,4642.762,186.01,6802.129,0,6.647,14582873.494,5.426
103,2,18974.862,4202.97,211.062,6449.204,0,6.26,12934208.115,6.512
104,2,18915.228,5391.039,143.304,3342.369,0,10.366,35459317.746,7.596
105,2,18949.562,13934.775,206.248,10270.936,0,10.544,36689241.693,5.632
106,2,19179.345,12990.396,202.462,7647.956,0,7.699,19562377.127,5.912
107,2,19137.213,14278.638,91.642,1149.823,124.846,7.543,18776764.488,7.479
108,2,19346.993,3604.198,48.702,122.895,124.988,5.526,10076827.576,14.371
109,2,19298.52,4806.885,149.728,3961.743,0,7.716,19647210.693,6.175
110,2,19519.999,4400.702,7.169,97.069,111.83,8.98,26610843.76,5.044
111,2,19736.608,15128.298,154.619,4338.184,0,8.29,22680590.706,6.242
112,2,19996.762,14456.067,295.516,17388.17,0,7.9,20593884.144,5.69
113,2,20070.502,15555.881,193.087,7791.941,0,9.125,27481033.858,5.859
114,2,20164.537,2615.488,156.113,3815.336,0,10.04,33267884.444,7.674
115,2,20243.62,14723.71,63.82,156.663,150.151,2.919,2812447.548,12.804
116,2,20319.487,15010.623,251.071,11381.142,0,5.834,11232781.71,5.503
117,2,20479.366,2379.5,55.535,155.521,109.603,2.333,1795507.682,10.321
118,2,20591.399,15913.85,196.693,9092.865,0,9.534,29999607.39,5.488
119,2,20681.569,2862.825,42.167,84.351,116.629,4.514,6725883.016,14.216
120,2,20912.174,2436.313,199.307,5718.513,0,7.352,17839488.357,6.966
121,2,24709.038,26982.082,55.223,60.038,74.185,3.03,3029814.542,21.352
122,2,24731.563,31542.036,142.17,1859.128,0,3.796,4756896.677,7.578
123,2,25101.642,32096.56,67.811,191.027,60.502,4.069,5463554.095,13.768
124,2,25158.559,29980.903,159.255,2323.568,0,3.966,5191949.547,7.666
125,2,30099.217,27405.248,212.83,8621.083,0,9.408,29209114.802,6.357
126,2,30393.977,27824.364,196.27,8007.413,0,9.785,31598342.709,6.075
127,2,30962.201,27716.811,239.427,11618.728,0,5.034,8362647.802,4.949
128,2,31113.259,28408.498,190.451,8977.526,0,13.261,58034032.946,6.255
129,2,31285.333,27893.946,186.041,7542.332,0,8.694,24945530.42,5.573
130,2,31312.341,28648.701,29.729,62.476,227.877,15.869,83104817.676,29.982
131,2,31616.901,28182.43,194.61,9494.249,0,9.648,30717756.657,5.268
132,2,31777.522,29100.082,202.517,8858.504,0,12.677,53034727.899,6.782
133,2,32002.752,28641.32,4.937,154.403,215.074,9.687,30970525.849,3.531
134,2,32062.611,29394.93,160.134,4191.059,0,3.431,3884558.008,5.291
135,2,32512.68,29738.611,63.631,270.475,166.797,6.138,12434056.071,11.959
136,2,32889.402,29347.447,142.375,4565.027,0,8.889,26079015.862,5.522
137,2,33144.629,30179.911,30.137,71.644,143.54,5.281,9202362.349,11.707
138,2,33790.756,29999.124,268.551,14509.971,0,6.823,15363845.534,5.37
139,2,34366.444,30224.766,162.927,6244.177,0,12.66,52895445.589,6.356
140,2,34400.27,30798.433,6.824,60.104,204.137,12.93,55172684.138,9.306
141,2,34926.42,30881.175,112.833,1456.35,79.717,4.462,6569790.039,6.926
142,3,4066.506,34685.606,194.186,6361.231,0,4.928,8014400.772,5.516
143,3,4480.428,35033.797,153.445,1819.565,77.735,3.669,4441531.012,8.367
144,3,4516.767,34424.622,164.82,5866.649,0,10.078,33520658.677,6.007
145,3,5011.81,35170.318,92.893,581.125,130.589,5.374,9530883.038,10.734
146,3,5137.645,34496.637,172.736,6576.436,0,8.019,21220413.095,5.363
147,3,5308.286,35195.424,95.373,745.226,99.164,10.197,34316435.874,13.499
148,3,5887.234,35302.325,159.265,4258.192,0,8.991,26679569.184,6.858
149,3,6115.041,34650.557,229.076,10530.046,0,8.935,26347207.476,5.966
150,3,6368.195,35323.273,175.458,4641.848,0,6.655,14615326.304,6.491
151,3,6927.354,35366.956,168.668,5222.837,0,5.23,9027941.552,5.318
152,3,7117.128,34798.188,8.723,137.29,141.246,16.116,85710785.288,5.698
153,3,7548.721,35518.545,168.434,5860.015,0,14.66,70922590.07,7.745
154,3,8086.447,35064.853,338.658,18076.567,0,4.611,7016410.22,5.647
155,3,8081.085,35603.21,5.312,102.265,136.913,7.994,21091331.978,4.398
156,3,8682.638,35586.086,152.031,5285.33,0,13.524,60363032.068,6.775
157,3,9118.581,34986.729,40.428,67.493,168.95,2.155,1531922.995,12.011
158,3,9534.936,35458.963,160.346,6260.655,0,19.43,124585366.239,8.244
159,3,10792.979,18588.704,61.861,170.336,157.367,10.464,36138008.159,24.98
160,3,11039.866,17967.038,184.2,7920.777,0,16.193,86530424.897,7.466
161,3,11477.14,18310.403,244.184,8916.348,0,5.989,11835292.325,6.269
162,3,11710.943,16968.48,250.429,11891.79,0,3.029,3027073.696,4.791
163,3,11823.026,16633.59,86.378,609.152,98.578,5.14,8719894.758,9.202
164,3,11918.498,17841.922,8.125,160.917,190.907,13.171,57251069.85,4.32
165,3,12234.093,17180.576,173.725,6269.841,0,12.897,54898786.239,7.09
166,3,12606.194,16235.428,259.08,10136.32,0,7.075,16519248.821,6.611
167,3,12711.211,15888.681,179.321,2207.29,98.338,2.59,2213404.117,8.336
168,3,12872.626,15806.899,214.7,6616.175,0,10.939,39489814.585,8.608
169,3,13075.86,15297.592,22.874,29.997,95.726,4.272,6023112.225,15.394
170,3,18478.133,12502.211,124.104,2017.421,61.583,5.23,9026430.901,6.623
171,3,18522.423,13068.344,235.978,13068.859,0,10.396,35665868.288,5.705
172,3,18786.22,4726.002,227.142,9767.717,0,9.421,29287963.3,6.382
173,3,18852.822,5424.741,161.263,3942.483,0,8.098,21643522.653,7.031
174,3,18929.606,13917.296,221.223,11995.982,0,11.042,40238274.497,5.693
175,3,19010.944,4142.812,132.034,1344.149,74.005,5.984,11815387.735,10.075
176,3,19149.325,14243.781,214.741,9924.318,0,10.176,34171430.259,6.027
177,3,19161.547,12999.889,192.437,7435.71,0,7.305,17609537.474,5.517
178,3,19276.254,14502.658,188.2,6665.804,0,10.122,33810576.069,6.662
179,3,19389.161,3558.084,232.854,8224.881,0,6.915,15780055.745,6.537
180,3,19360.083,13359.622,1.686,64.652,135.803,4.927,8011194.15,4.802
