"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,2852.117,20740.106,148.983,4447.763,0,15.518,79475175.291,8.292
2,1,3045.284,21690.803,165.797,4496.511,0,15.059,74837540.054,9.638
3,1,3436.371,22009.274,197.937,5845.963,0,6.913,15772423.429,6.623
4,1,3831.521,22504.054,214.473,6829.058,0,10.419,35822980.84,8.131
5,1,3891.019,21695.414,215.232,7882.086,0,7.961,20918229.486,6.391
6,1,4522.864,23040.635,197.371,4968.555,0,7.52,18661413.067,7.684
7,1,14578.748,11056.408,132.451,1147.535,0,4.403,6396781.749,9.926
8,1,16983.109,27479.275,177.175,6124.318,0,7.394,18041016.444,5.656
9,1,17233.412,27109.228,177.174,7045.404,0,13.116,56768350.896,6.727
10,1,17491.212,27630.833,98.189,924.033,184.769,2.866,2709824.795,7.069
11,1,17829.618,26803.791,188.573,7999.551,0,14.006,64734727.949,6.987
12,1,18018.628,27412.804,48.409,247.456,216.662,10.726,37967984.503,12.348
13,1,18211.654,26549.978,174.538,6577.035,0,9.669,30851085.103,5.884
14,1,18569.473,27062.003,174.099,7983.422,0,14.068,65315094.407,6.175
15,1,18759.579,26193.481,47.91,161.511,162.857,14.734,71641929.894,23.159
16,1,19250.967,6420.756,183.48,11420.644,0,9.972,32814412.739,4.323
17,1,19347.179,6968.154,204.312,7983.04,0,15.634,80667657.8,8.619
18,1,19335.012,25767.684,197.793,9167.597,0,8.561,24187358.23,5.26
19,1,19694.227,6586.908,85.616,555.111,76.49,7.371,17929305.754,11.695
20,1,19771.707,26066.606,211.844,10401.974,0,7.084,16560948.338,4.961
21,1,20162.272,7839.418,2.669,36.244,121.239,4.838,7723435.523,7.11
22,1,20149.55,25008.841,183.93,5913.665,0,8.627,24560694.737,6.509
23,1,20164.05,25778.817,243.781,12432.53,0,11.238,41679497.222,6.476
24,1,20439.818,7267.569,87.946,459.499,97.819,7.306,17617499.601,14.148
25,1,20447.025,24764.161,58.732,167.911,114.555,8.198,22176852.592,19.092
26,1,20569.196,8208.415,223.99,7137.707,0,5.753,10922604.155,6.4
27,1,20651.259,7530.515,213.95,6445.433,0,7.025,16287554.774,6.936
28,1,20968.21,25149.554,54.675,212.004,179.747,13.994,64625067.737,21.288
29,1,21079.863,8537.617,143.903,4669.013,13.776,3.115,3202305.382,4.394
30,1,21128.331,24318.784,219.684,11984.107,0,16.146,86033911.421,7.054
31,1,21651.64,23930.195,192.792,6793.636,0,15.324,77494216.818,8.841
32,1,21819.767,24380.386,247.234,11810.967,0,10.349,35346798.298,6.585
33,1,22075.71,23635.335,58.112,165.886,216.347,5.001,8254147.2,13.729
34,1,22062.03,24140.179,214.382,8551.783,0,14.887,73137618.13,8.515
35,1,29442.798,29837.501,4.629,42.798,49.599,2.711,2426323.119,5.624
36,1,34470.017,26844.114,136.872,2460.29,0,6.605,14396410.65,7.158
37,1,35076.103,27898.075,173.832,4195.84,0,7.393,18037891.834,7.181
38,1,35275.799,27107.024,159.163,3958.531,0,13.495,60106017.668,9.273
39,1,35536.013,28375.007,220.102,7804.591,0,7.246,17326948.968,6.388
40,1,35759.141,27692.2,293.462,9213.104,0,7.329,17727799.518,8.617
41,1,35829.126,28617.597,127.905,1100.994,83.101,7.334,17751767.008,12.552
42,1,36354.905,29236.328,73.893,202.605,134.247,8.634,24602949.52,24.521
43,1,36724.407,29584.757,219.479,7614.506,0,11.485,43529748.16,8.203
44,1,36973.083,29843.607,219.998,6583.708,0,8.587,24333318.664,7.811
45,1,37058.298,28995.307,72.9,299.355,119.078,5.606,10372182.774,12.789
46,1,37259.671,29316.594,191.533,6001.921,0,9.175,27780702.316,7.04
47,1,37437.76,30156.896,7.517,60.936,123.222,9.964,32763162.624,7.809
48,2,2645.213,21170.492,219.116,5189.158,0,4.66,7166373.519,7.183
49,2,2833.964,20758.297,169.907,5736.997,0,8.695,24953798.737,5.96
50,2,3012.583,21636.613,202.791,5948.586,0,12.477,51376319.087,9.331
51,2,3758.423,22479.154,3.221,59.992,150.657,8.649,24684133.167,6.545
52,2,3919.785,21604.815,3.949,58.773,129.676,8.746,25243569.143,6.776
53,2,4203.437,22837.739,177.496,5266.544,0,7.106,16662255.094,6.196
54,2,4439.775,22134.666,175.027,5155.826,0,8.54,24068916.203,6.666
55,2,4971.909,22627.867,98.675,909.484,79.301,8.857,25890969.998,10.954
56,2,4962.5,23073.664,85.489,803.301,110.399,12.239,49433396.691,12.065
57,2,16160.066,10158.236,1.341,62.632,41.013,4.152,5689570.316,4.679
58,2,17063.251,27596.877,233.703,9445.945,0,5.623,10435246.977,5.602
59,2,17266.609,27117.959,208.093,9392.579,0,10.883,39089927.85,6.202
60,2,17464.479,27641.378,244.883,14089.755,0,6.935,15872043.549,4.881
61,2,17651.358,26867.779,186.762,7063.352,0,14.043,65078045.165,7.635
62,2,18015.656,27390.141,31.625,76.664,221.247,9.31,28604305.526,17.038
63,2,18206.775,26594.62,261.353,13490.639,0,12.082,48171901.537,7.058
64,2,18595.965,27060.565,173.642,7501.505,0,13.832,63140072.481,6.399
65,2,18752.487,26241.06,314.152,19191.088,0,12.016,47651805.679,7.114
66,2,18934.094,26767.336,252.262,14195.249,0,16.642,91403117.502,7.877
67,2,19236.257,6410.817,157.774,8934.263,0,20.802,142811487.682,6.194
68,2,19278.771,26635.603,6.001,115.908,208.407,10.028,33183157.45,4.522
69,2,19332.932,6990.286,179.128,6011.835,0,18.302,110548062.566,9.904
70,2,19328.456,25752.288,178.102,6769.255,0,10.316,35118213.645,6.123
71,2,19598.135,7329.237,54.992,170.261,98.433,9.668,30848231.096,19.309
72,2,19767.764,25285.102,7.185,71.16,181.377,20.403,137383337.694,11.742
73,2,19730.16,26088.164,254.908,13909.26,0,14.239,66906864.003,7.329
74,2,20125.267,7801.672,130.46,2528.037,0,9.98,32868210.026,8.01
75,2,20136.348,25018.722,245.741,10400.425,0,10.045,33297096.733,7.079
76,2,20149.888,25730.654,242.547,12970.875,0,12.942,55275404.311,6.74
77,2,20453.475,7246.594,92.531,656.094,79.296,8.38,23177599.309,12.492
78,2,20564.433,8205.375,33.193,109.257,108.498,10.878,39051496.687,14.956
79,2,20648.398,7504.196,152.402,3482.715,0,4.972,8157213.688,5.965
80,2,20896.066,24527.559,260.786,13192.698,0,8.378,23164491.888,5.939
81,2,20879.457,25276.127,5.02,105.66,178.591,12.136,48605500.265,5.273
82,2,21050.349,8545.759,49.395,205.055,170.445,3.28,3549496.233,8.265
83,2,21118.772,7918.62,12.104,47.225,133.206,8.487,23771129.025,10.287
84,2,21247.41,24228.676,177.567,7717.221,0,15.531,79606573.556,6.979
85,2,21308.406,24811.137,159.283,7510.429,0,7.366,17907665.671,4.302
86,2,21851.541,24383.263,194.823,7863.095,0,6.783,15185992.533,5.273
