"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
80,2,26955.43,13840.322,5.46,78.626,188.235,7.461,18372898.896,5.168
81,2,27100.539,13159.075,47.908,96.524,155.365,11.34,42436148.266,29.838
82,2,27196.134,14360.774,205.343,8598.768,0,11.323,42310828.451,6.646
83,2,27424.445,14756.534,114.969,2238.218,110.049,11.575,44215688.294,7.922
84,2,27446.958,13569.823,180.281,5807.948,0,10.53,36593648.893,7.088
85,2,27754.684,15217.255,179.798,6680.594,0,11.859,46409501.428,6.766
86,2,27759.605,14222.361,214.449,7998.19,0,11.116,40781942.653,7.45
87,2,28172.29,14789.513,206.076,10258.598,0,11.034,40179252.832,5.758
88,2,28195.771,15706.93,176.816,8003.71,0,9.148,27619196.738,5.084
89,2,28380.134,15043.373,104.759,952.446,192.429,11.512,43737652.568,13.967
90,2,28658.755,15321.317,127.366,2155.412,75.986,4.168,5732432.676,6.192
91,2,28907.081,16097.725,226.677,8313.945,0,9.352,28861633.943,7.155
92,2,32696.561,26172.339,188.39,4817.994,0,5.88,11411826.735,6.663
93,2,32854.557,27157.907,96.144,552.25,97.932,8.189,22132880.933,15.12
94,2,33043.148,26506.136,208.185,4984.566,0,4.489,6650129.751,6.837
95,2,33360.216,27756.815,9.745,88.12,86.3,9.368,28960767.73,6.032
96,2,33759.38,28160.417,6.596,79.25,105.293,5.76,10948938.432,4.784
97,2,34704.42,29468.502,165.122,4125.413,0,8.892,26094998.326,7.368
98,2,34718.495,28563.56,234.236,6706.204,0,8.776,25417258.112,8.577
99,2,34876.061,29761.365,181.932,4638.212,0,8.012,21184638.239,7.397
100,2,35546.782,29587.496,190.18,6124.454,0,7.187,17045624.813,6.162
101,2,35520.267,30400.492,9.317,47.627,95.443,4.355,6257897.684,6.611
102,2,35686.726,27304.635,112.779,346.188,76.038,3.429,3881269.637,16.758
103,2,35876.366,29030.848,47.856,86.189,75.791,6.084,12216713.821,19.994
104,2,35860.693,30493.849,155.868,2622.799,0,6.289,13053427.369,8.033
105,2,35984.727,24630.447,132.323,1600.977,34.35,4.474,6604834.072,7.971
106,2,35999.915,27761.481,9.039,68.656,114.282,3.636,4362614.753,4.976
107,2,36533.127,28643.742,159.386,2433.424,0,4.164,5721539.477,7.549
108,2,37205.59,26192.085,109.199,942.45,26.106,6.001,11882521.505,9.973
109,3,9939.039,39242.636,239.252,13805.236,0,11.976,47334706.274,6.008
110,3,10083.256,38899.37,43.627,125.828,249.168,5.281,9204124.112,11.886
111,3,10190.643,38530.494,168.654,9394.03,0,11.927,46948250.931,4.755
112,3,10411.704,37808.044,191.743,9096.851,0,11.929,46959759.177,5.894
113,3,10559.719,37434.113,6.233,105.412,203.273,13.135,56933570.017,5.724
114,3,10624.65,33708.712,51.152,200.302,201.578,3.931,5098382.69,9.183
115,3,10631.645,37095.974,238.305,14447.671,0,12.071,48084113.825,5.791
116,3,10732.217,34763.519,148.553,4358.369,97.023,9.045,27000098.309,6.109
