"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,7057.682,31836.993,236.96,4933.487,0,6.576,14270506.039,9.476
2,1,7271.647,31422.428,49.651,148.889,90.469,6.991,16130940.02,14.641
3,1,7647.444,31925.115,125.253,2520.798,0,6.759,15076151.784,6.294
4,1,7768.12,31292.372,9.414,26.882,102.935,4.462,6569334.583,10.001
5,1,8072.263,31895.296,235.017,7650.877,0,6.135,12421236.285,6.655
6,1,8438.044,31294.234,159.212,3721.185,0,8.746,25243463.551,7.481
7,1,8520.458,31906.921,181.656,4392.427,0,11.257,41823157.319,9.352
8,1,8815.699,31336.246,152.681,3614.867,0,6.27,12973911.577,6.249
9,1,9072.691,31936.674,166.063,4715.72,0,5.994,11855639.571,5.767
10,1,9645.241,31294.217,162.112,4403.357,0,11.133,40905715.364,7.717
11,1,10159.485,31283.018,3.781,51.033,124.009,6.005,11901879.887,6.204
12,1,10078.368,31923.003,6.351,58.139,138.569,4.014,5317062.907,5.24
13,1,10453.239,8020.579,175.176,4893.782,0,4.461,6566394.028,5.594
14,1,10597.817,31400.14,183.285,5545.374,0,8.019,21220497.471,6.565
15,1,10760.54,8546.885,149.28,2537.587,0,3.396,3807435.469,6.508
16,1,10991.755,32132.15,177.024,4219.342,0,7.207,17139031.749,7.257
17,1,11155.076,31521.384,128.047,1932.446,61.285,7.307,17618171.369,8.108
18,1,11256.288,8543.959,183.259,5491.865,0,7.231,17256214.303,6.331
19,1,11548.52,31689.525,58.287,154.136,107.961,6.602,14384580.165,17.362
20,1,11601.738,32163.37,4.911,104.162,105.762,5.209,8955473.079,3.77
21,1,11883.197,7979.659,138.052,2322.669,0,10.377,35536106.492,9.603
22,1,12645.227,7995.703,7.776,19.745,106.368,2.557,2157674.807,9.541
23,1,13073.543,8627.045,129.111,1998.345,0,9.815,31795014.521,9.417
24,1,13432.88,20712.111,150.216,3000.922,0,5.908,11517836.909,6.79
25,1,13396.02,21191.185,176.343,3577.467,0,3.55,4158120.908,6.504
26,1,13537.741,8176.938,190.827,4012.44,0,7.854,20359077.936,8.77
27,1,13758.559,8715.546,6.039,55.802,105.015,8.307,22773020.502,7.178
28,1,13761.672,21197.372,6.761,82.198,115.059,10.309,35074492.23,6.112
29,1,14046.923,20306.792,71.588,445.036,169.296,9.083,27226334.512,12.152
30,1,14509.857,8246.573,139.427,2064.705,0,6.615,14439660.954,8.333
31,1,14798.76,19638.229,106.63,1269.377,117.773,8.191,22138979.815,9.028
32,1,15335.164,19930.017,279.36,14700.375,0,5.304,9283545.591,5.228
33,1,15406.879,21920.352,208.744,7854.792,0,6.744,15010035.079,5.766
34,1,15493.77,9095.826,175.459,4548.091,0,12.002,47542555.031,8.954
35,1,15696.979,18884.242,51.879,224.131,180.056,12.625,52597562.803,17.025
36,1,15761.136,8479.822,3.854,152.456,123.907,20.24,135197736.232,5.353
37,1,15750.034,21428.553,197.447,7423.395,0,2.288,1727799.432,4.695
38,1,16120.234,8617.766,100.302,1223.323,91.11,13.02,55947822.02,11.432
39,1,16079.992,18862.519,265.382,22110.156,0,13.73,62216107.195,5.275
40,1,16199.356,9240.912,131.139,1584.097,24.839,7.1,16633658.341,9.613
41,1,16274.296,21376.198,169.863,5834.275,0,16.021,84714177.315,8.391
42,1,16296.861,18409.843,324.978,16324.991,0,7.249,17341183.947,6.559
43,1,16437.615,21995.357,198.919,11119.482,0,12.701,53235756.306,5.525
44,1,16929.793,9245.952,187.88,4836.867,0,9.602,30429088.713,8.276
45,1,16919.043,21442.096,90.994,484.982,125.114,9.657,30776263.75,17.441
46,1,17040.138,22008.219,6.83,87.8,180.642,11.813,46049921.327,6.319
47,1,17176.948,9089.491,105.551,427.397,58.185,4.32,6160186.485,14.572
48,1,17924.797,21528.067,9.139,72.148,212.149,6.867,15560669.1,5.877
49,1,17997.329,22093.627,328.075,20151.408,0,6.411,13563474.512,5.516
50,1,18401.448,22233.144,6.419,111.424,187.074,9.989,32926844.473,4.699
51,1,24287.352,34083.166,253.805,10305.072,0,8.564,24201958.23,6.898
52,1,24281.197,34548.63,210.436,6309.099,0,8.426,23429478.663,7.474
53,1,24837.992,34257.749,118.357,1836.667,63.772,9.811,31768567.469,8.788
54,1,25201.587,33423.185,74.02,336.511,150.303,5.262,9136219.908,11.566
55,1,25361.619,34011.836,94.066,1346.518,138.792,5.492,9953251.075,6.158
56,1,25880.983,33662.523,71.587,321.162,124.806,9.843,31972328.43,17.069
57,1,26321.193,32893.614,209.269,7348.903,0,8.411,23349980.158,6.617
58,1,26492.596,33345.532,226.29,10232.588,0,10.565,36833723.017,6.494
59,1,26785.246,32622.762,174.019,5710.849,0,5.662,10579587.455,5.329
60,1,26866.048,33182.352,64.557,223.446,196.466,12.445,51108500.882,24.212
61,1,27354.312,32317.284,156.403,5592.135,0,8.652,24705089.414,5.394
62,1,27365.939,32891.283,169.842,5909.406,0,10.077,33513784.507,6.245
63,1,27799.786,32053.269,81.922,314.884,156.837,10.286,34913986.322,22.609
64,1,27941.761,32420.406,177.699,6954.134,0,11.563,44120855.471,6.348
65,1,29239.062,28320.153,2.435,27.829,77.797,2.853,2686890.447,7.13
66,1,30451.15,29114.064,138.362,3519.875,0,10.927,39400421.719,7.12
67,1,30886.465,28662.739,186.189,3333.278,0,4.79,7571506.603,7.832
68,1,32526.278,28785.484,91.146,526.367,20.689,1.61,855792.76,8.362
69,1,32923.303,29344.849,91.514,795.042,58.16,6.122,12368239.268,8.876
70,1,38428.635,29221.615,407.225,14159.661,0,2.47,2013444.958,7.276
71,1,38758.237,27675.03,90.833,226.051,68.529,3.478,3992593.436,16.97
72,1,38898.071,28815.343,164.342,2535.846,0,4.256,5977913.697,7.688
73,1,39110.956,26925.86,194.434,3523.676,0,3.668,4440247.685,7.423
74,1,39057.298,28485.861,34.413,58.743,78.752,2.803,2593726.437,11.923
75,1,39290.234,27960.458,119.584,1738.807,0,2.781,2552507.524,6.119
76,1,39523.437,27359.139,8.871,55.003,69.043,6.219,12761971.672,6.784
77,1,39679.188,26315.384,3.246,53.27,64.974,5.344,9424349.063,5.699
78,2,7142.285,31510.76,262.06,6235.066,0,6.247,12879857.527,9.017
79,2,7107.179,31929.95,134.509,1924.363,0,6.919,15801074.356,8.51
80,2,7643.898,31902.241,177.917,4726.876,0,5.862,11340107.98,6.252
81,2,7875.667,31338.854,190.293,4997.538,0,12.993,55716237.074,10
82,2,8038.531,31871.184,189.785,5038.502,0,4.403,6397746.02,6.034
83,2,8694.148,31355.981,197.215,5989.67,0,11.627,44611593.442,8.457
84,2,9307.935,31366.15,152.157,1834.792,46.919,4.629,7071580.967,8.84
85,2,9675.312,31275.647,10.134,83.948,131.671,13.903,63785471.196,8.245
86,2,10080.223,31999.692,0.997,64.672,140.933,3.628,4343188.427,4.459
87,2,10161.12,31354.016,4.725,69.704,114.14,7.388,18012866.628,5.527
88,2,10312.623,8262.905,236.048,7261.915,0,8.825,25701510.272,8.184
89,2,10474.42,8501.03,319.126,11640.157,0,4.948,8079604.451,7.035
90,2,10512.993,8011.667,220.557,7803.435,0,7.114,16702355.482,6.361
91,2,11206.211,31583.238,174.367,5703.99,0,8.504,23864616.454,6.149
92,2,11859.263,8527.835,199.06,5168.678,0,8.069,21484652.627,7.82
93,2,12034.63,7986.943,154.016,2730.305,0,3.792,4744597.967,6.597
94,2,12455.07,8592.528,80.762,207.481,73.844,2.801,2589160.025,14.066
95,2,12544.848,7955.777,166.591,3653.439,0,6.285,13034341.914,6.98
96,2,12881.435,8071.462,10.407,57.063,89.927,3.711,4545026.122,5.827
97,2,13364.23,21171.762,73.773,322.218,60.305,3.954,5159922.399,10.505
98,2,13438.826,20754.836,192.802,4600.346,0,6.564,14217777.375,7.397
99,2,13566.282,8205.049,153.333,2876.159,0,10.006,33040449.986,9.328
100,2,13602.782,20562.305,9.638,108.241,114.424,7.182,17024582.944,4.573
101,2,13763.002,8685.734,84.998,498.076,64.307,6.539,14112132.105,11.752
102,2,13804.826,21121.78,146.202,3590.844,0,12.062,48010753.853,8.113
