"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,7400.238,10637.589,156.075,4086.983,0,9.706,31091317.418,7.139
2,1,7627.435,11651.351,63.139,232.723,172.117,13.957,64288002.579,24.804
3,1,7761.397,12076.669,15.972,121.327,181.444,7.614,19133734.408,5.451
4,1,8011.335,10843.096,176.759,6738.425,0,9.633,30623196.939,5.878
5,1,8315.05,13074.035,188.324,7756.764,0,15.109,75336804.263,7.519
6,1,8463.775,11770.177,7.452,26.483,180.694,9.268,28343924.496,15.184
7,1,8734.543,12370.973,162.579,6644.19,0,13.499,60136595.997,6.262
8,1,8928.493,12735.078,62.73,255.934,123.586,8.824,25693731.134,15.496
9,1,9083.868,14224.438,181.672,7742.396,0,9.495,29755284.19,5.492
10,1,9438.101,13809.828,158.177,4199.727,0,7.567,18898905.051,6.345
11,1,9440.411,14159.868,3.013,103.03,143.234,11.138,40940635.207,4.93
12,1,9904.149,22555.526,216.019,8425.608,0,13.953,64248060.782,8.349
13,1,10131.334,23200.715,2.208,32.156,228.839,4.117,5592334.65,7.223
14,1,10314.701,23529.185,163.443,8355.248,0,18.599,114168198.352,6.432
15,1,10325.533,22733.531,204.666,7623.833,0,7.037,16344095.003,5.815
16,1,10727.541,23157.718,225.059,11721.72,0,5.897,11477621.225,4.727
17,1,10802.918,24240.246,5.367,96.037,225.456,10.613,37169662.214,5.3
18,1,11153.693,23676.476,188.745,10354.724,0,13.632,61329349.786,5.6
19,1,11139.233,24769.515,92.276,1022.719,222.427,14.154,66116532.681,12.388
20,1,11352.167,24020.381,54.606,334.413,225.315,4.558,6855520.647,7.419
21,1,11487.704,25310.387,194.499,11246.159,0,9.68,30920713.62,4.678
22,1,12025.721,24985.81,100.125,1308.443,199.318,11.123,40831452.207,9.631
23,1,12297.417,25551.271,115.265,2238.468,148.175,8.786,25474767.24,6.825
24,1,12294.905,25836.019,66.888,487.486,171.559,14.587,70224924.183,14.331
25,1,20007.971,33897.825,229.95,10359.433,0,9.703,31070825.966,6.311
26,1,20383.061,33431.882,91.759,631.951,139.958,7.577,18945076.819,11.921
27,1,20576.48,34005.381,160.074,5756.082,0,11.001,39939363.876,6.099
28,1,20867.729,32966.19,151.288,6977.578,0,13.114,56753997.851,5.306
