"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,4256.49,5300.361,212.212,12475.745,0,9.381,29044690.147,4.849
2,1,4477.754,5952.802,78.588,493.886,219.143,10.93,39422780.327,14.758
3,1,4601.026,6351.425,209.579,11813.3,0,8.922,26271135.107,4.856
4,1,4648.648,4973.653,180.696,9219.811,0,19.127,120739797.236,7.143
5,1,4707.891,6809.761,185.493,7545.447,140.916,14.619,70530384.744,7.34
6,1,4894.135,5462.096,109.598,854.998,236.755,6.211,12732670.184,10.981
7,1,5077.131,8100.736,166.297,5633.37,109.084,12.827,54300653.053,7.185
8,1,5111.977,5804.456,176.041,9069.861,0,15.814,82528808.406,6.094
9,1,5234.485,8721.232,29.99,111.422,285.431,14.26,67107252.062,16.008
10,1,5400.415,6599.835,206.718,14967.351,0,9.772,31511297.504,4.193
11,1,5415.273,9453.921,211.441,15541.5,0,17.856,105215332.204,5.703
12,1,5698.242,10494.939,184.872,12088.428,0,16.567,90578385.411,5.375
13,1,5700.825,7901.523,199.995,14601.495,0,12.755,53687718.199,4.547
14,1,5782.17,8339.873,108.122,1407.784,226.172,8.219,22295093.353,8.526
15,1,5817.077,8896.678,92.073,488.168,277.557,12.432,51006584.612,21.728
16,1,5906.397,10919.927,230.433,16891.633,0,18.611,114301438.997,6.306
17,1,6156.839,9950.411,321.685,29347.296,0,7.282,17500147.641,4.38
18,1,6331.861,10317.506,314.158,25234.346,0,18.762,116168334.413,7.624
19,1,6481.565,11918.33,10.261,107.408,271.724,15.869,83105014.498,7.376
20,1,6492.675,10544.956,195.974,10295.011,0,4.606,7002185.966,4.148
21,1,6648.017,12145.386,64.778,383.761,248.021,9.468,29586066.934,12.119
22,1,6906.412,11336.8,246.524,18045.834,0,17.078,96250793.134,6.3
23,1,7159.066,12708.235,240.225,14380.998,0,13.052,56222652.845,6.146
24,1,7287.786,12146.935,234.367,16028.21,0,8.273,22588084.49,4.473
25,1,7449.091,12353.701,67.235,545.262,192.052,9.471,29603487.701,9.593
26,1,14374.795,34377.815,126.151,1209.306,0,3.165,3306442.872,8.196
27,1,15342.635,17106.272,64.743,221.022,106.242,6.223,12778110.062,14.52
28,1,15347.82,17388.18,150.544,3881.493,0,4.158,5705470.457,5.304
29,1,15520.652,16081.65,5.367,62.257,102.005,6.906,15737438.414,5.899
30,1,15481.479,17853.872,171.077,4332.748,0,4.724,7364683.403,5.928
31,1,15606.153,18351.144,152.715,3415.726,0,6.428,13636745.11,6.552
32,1,15774.633,16159.951,147.937,2956.177,0,7.871,20445469.855,7.567
33,1,15882.857,16778.974,168.324,3651.638,0,6.874,15592170.104,7.343
34,1,15990.033,17225.144,121.672,1860.17,85.024,10.129,33859583.427,9.265
35,1,16155.215,19279.898,5.886,93.703,108.117,5.743,10884875.557,4.213
36,1,16164.433,18040.907,69.503,343.175,108.32,6.988,16114196.709,12.154
37,1,19959.122,25167.42,53.652,70.545,68.54,2.912,2798618.692,17.882
38,1,20320.481,25515.581,8.15,47.761,71.267,5.43,9731486.624,6.916
39,1,21005.495,25242.349,170.54,2493.449,0,5.324,9355102.364,8.811
40,1,21277.427,25998.311,2.877,39.893,68.139,5.492,9955434.471,7.028
41,1,26507.204,31815.284,204.302,3901.559,0,9.248,28222707.642,10.995
42,1,27968.947,32422.953,181.49,3608.336,0,7.079,16537172.997,8.364
43,1,28586.659,31828.603,266.035,8056.873,0,2.652,2321754.562,6.257
44,1,29027.649,27190.09,192.377,6215.557,0,10.829,38697301.618,7.553
45,1,28990.73,31825.953,121.047,1644.448,0,8.795,25528246.603,9.313
46,1,29281.202,27597.768,3.16,37.574,123.062,7.024,16283360.999,8.387
47,1,29366.071,32531.652,205.775,4884.823,0,7.653,19328625.351,8.348
48,1,29599.888,27037.527,8.461,103.025,123.159,14.215,66684190.338,6.6
49,1,29839.076,27676.989,3.343,78.048,154.016,8.705,25010116.437,5.371
50,1,29918.306,27037.238,4.1,53.793,130.223,6.048,12071637.815,6.025
51,1,30239.243,27676.305,5.635,77.919,147.704,11.008,39988937.197,6.447
52,1,30602.876,26947.897,86.276,586.657,85.427,9.376,29010151.627,13.24
53,1,31121.885,27520.805,9.786,63.518,121.781,7.671,19418087.061,6.976
54,1,31626.321,27572.109,77.377,629.743,91.286,8.33,22898631.88,9.761
55,1,31933.657,26883.755,169.602,3151.87,0,3.535,4123576.95,6.693
56,2,3919.837,11809.494,27.409,29.432,55.888,3.845,4879355.752,17.661
57,2,4213.655,4883.041,163.351,7387.46,0,7.484,18486795.222,4.508
58,2,4321.354,5760.598,3.335,107.901,255.946,20.882,143899020.336,7.393
59,2,4478.524,5898.101,146.318,2416.296,188.675,11.114,40762689.242,10.699
60,2,4596.673,4891.895,79.082,542.357,162.851,13.589,60943545.902,16.301
61,2,4687.22,6837.778,105.512,1579.847,240.002,10.637,37338257.423,8.709
62,2,4922.637,5488.452,115.125,1812.972,174.222,7.323,17698323.707,7.304
63,2,5066.559,8063.394,83.998,510.273,232.164,14.096,65575955.248,19.742
64,2,5383.525,9220.747,47.804,246.518,297.709,5.44,9766070.037,8.271
65,2,5437.062,6702.989,182.527,13234.862,0,15.276,77007585.196,4.682
66,2,5701.447,10498.43,191.294,12569.466,0,14.577,70126369.73,5.103
67,2,5684.121,7839.607,6.568,148.531,307.224,19.372,123847964.375,5.666
68,2,5782.181,8366.088,96.62,1304.788,201.686,16.135,85916170.176,11.953
69,2,5867.413,8936.363,57.553,305.381,273.299,6.927,15833878.505,10.095
70,2,5948.482,10980.27,213.938,14879.345,0,13.582,60876834.271,5.116
71,2,6157.919,11361.355,6.562,110.013,276.083,14.577,70126990.48,5.978
72,2,6207.566,9858.383,50.015,117.722,270.418,14.366,68113424.668,32.795
73,2,6638.331,10799.222,8.182,72.685,237.961,22.704,170108106.9,13.099
74,2,6604.21,12103.72,216.402,15327.458,0,16.883,94062301.154,5.779
75,2,7098.463,11649.505,189.11,12059.047,0,16.387,88625890.468,5.547
76,2,7274.831,12112.621,56.867,263.339,253.389,8.21,22241894.427,12.376
77,2,7423.572,12483.847,215.67,13281.707,0,7.578,18949408.539,4.421
78,2,14316.706,35561.398,125.66,733.565,46.487,4.065,5453674.684,12.235
79,2,15325.817,17070.761,151.526,3488.854,0,5.182,8861552.76,5.98
80,2,15378.704,17378.661,224.432,7788.809,0,6.145,12463044.294,6.188
81,2,15441.233,17840.673,5.766,63.218,126.7,9.762,31449741.92,7.111
82,2,15615.629,18312.038,232.976,8502.37,0,5.054,8428224.379,5.8
83,2,15791.453,16202.45,185.308,4566.661,0,4.987,8206902.292,6.422
