"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,3235.092,16168.129,225.15,12800.466,0,9.434,29374459.517,5.183
2,1,3241.356,16662.013,174.893,8549.249,0,19.341,123455216.608,7.27
3,1,3886.414,16232.247,164.356,6532.664,0,11.858,46403209.024,5.995
4,1,4374.243,16899.18,94.341,972.721,196.033,6.634,14523837.759,8.296
5,1,4756.498,16887.825,181.585,8549.26,0,4.856,7780962.655,4.264
6,1,4960.812,16234.176,7.766,142.882,180.437,11.643,44733368.606,4.378
7,1,5233.243,16774.151,271.294,17621.723,0,8.773,25397505.872,5.217
8,1,5339.371,16278.471,173.249,4345.087,108.249,7.666,19396387.098,7.082
9,1,6688.995,16071.332,172.894,7187.222,0,14.666,70987088.171,6.825
10,1,6676.561,16693.366,167.498,9374.71,0,14.213,66669516.727,5.153
11,1,7319.443,16570.201,185.611,8097.537,0,7.054,16420484.078,4.917
12,1,7524.25,16141.937,189.678,8135.865,0,16.821,93380029.857,7.876
13,1,10304.881,24433.7,98.744,1033.01,140.155,6.734,14965195.318,8.526
14,1,10400.431,24880.352,2.128,111.176,189.371,11.16,41103961.179,4.602
15,1,10661.471,24483.968,229.031,11732.645,0,13.249,57926661.942,6.762
16,1,10658.374,25192.472,41.99,137.543,198.31,12.204,49150135.107,18.615
17,1,10880.294,25520.59,7.278,128.124,186.205,14.862,72897935.574,5.446
18,1,11262.423,25936.982,163.025,3373.923,78.396,8.582,24305463.856,8.271
19,1,11436.149,26318.91,1.967,49.299,184.313,10.943,39517981.585,8.827
20,1,11727.567,26752.533,185.738,7331.991,0,11.562,44114638.568,6.521
21,1,11942.073,25815.866,42.416,117.052,140.871,3.348,3699348.296,10.034
22,1,12122.28,27082.31,76.085,254.508,140.579,8.636,24615027.047,20.982
23,1,12420.865,26519.463,91.364,801.013,133.774,11.347,42490529.401,12.769
24,1,12714.139,4747.805,178.24,5144.942,0,4.622,7049843.991,5.582
25,1,12869.029,4335.14,181.425,3519.987,0,8.09,21596334.42,9.126
26,1,13517.684,4000.295,5.311,56.254,133.857,12.023,47706580.276,8.951
27,1,13938.139,4404.812,199.816,4457.347,0,5.153,8761519.044,7.259
28,1,14274.232,3674.943,120.226,1069.93,32.866,4.852,7768322.186,9.486
29,1,14911.985,3989.887,160.969,4067.383,0,7.794,20046105.658,6.737
30,1,15084.178,3467.809,181.782,9667.912,0,8.685,24892268.402,4.55
31,1,15759.964,3665.824,229.221,6352.106,0,8.822,25681813.456,8.678
32,1,15961.441,3293.452,159.635,5070.622,51.14,13.202,57515305.93,7.465
33,1,29967.836,25105.504,202.044,5950.302,0,10.053,33354188.09,8.086
34,1,30410.809,25306.411,81.42,535.753,86.722,3.87,4943573.323,8.432
35,1,30636.095,24294.766,54.91,406.764,155.94,9.157,27670246.224,8.844
36,1,31937.277,23789.177,143.218,2455.216,52.964,3.033,3036270.096,6.219
37,1,32166.839,23086.11,205.11,6218.017,0,8.937,26358278.141,7.494
38,1,32563.07,22639.415,8.106,71.622,100.948,5.752,10917073.604,5.331
39,1,32860.509,22210.728,139.099,2936.015,0,5.732,10843178.871,6.17
40,1,32807.66,23064.17,214.418,6755.388,0,1.732,989527.745,5.306
41,1,33122.9,21888.488,167.227,4539.791,0,8.91,26197846.215,6.993
42,1,33199.473,22721.267,7.364,77.823,114.165,8.213,22258783.869,5.726
43,1,33424.268,21488.302,198.006,6271.804,0,8.102,21660370.938,6.74
44,1,34027.367,21075.869,97.817,474.087,63.502,4.492,6658846.534,12.329
45,2,3184.934,16143.611,159.634,6216.869,0,13.193,57437685.358,6.329
46,2,3244.097,16676.301,152.019,6614.682,0,15.943,83878140.632,6.259
47,2,3896.603,16258.22,163.072,6899.961,0,15.861,83023620.448,6.754
48,2,4195.22,16273.355,196.595,9901.659,0,9.313,28621307.446,5.111
49,2,4414.298,16880.428,281.987,23905.943,0,9.809,31752533.138,4.651
50,2,4744.879,16885.007,185.7,8739.527,0,13.099,56626520.875,6.098
51,2,4928.805,16273.011,225.296,11094.582,0,7.709,19612146.088,5.3
52,2,5231.168,16818.924,216.251,12524.361,0,11.228,41603483.326,5.374
53,2,5341.943,16244.339,109.585,1343.249,153.393,4.047,5404608.547,6.861
54,2,5888.839,16160.475,204.886,13272.108,0,19.222,121936191.484,6.493
55,2,5875.066,16727.273,215.039,15535.688,0,12.802,54088474.624,4.84
56,2,6590.147,16705.154,163.589,8139.658,0,14.769,71986643.006,5.674
57,2,6652.366,16101.243,214.484,11121.053,0,9.878,32200111.858,5.457
58,2,7280.883,16638.441,2.943,112.445,213.47,12.387,50634231.078,4.888
59,2,7524.816,16151.248,5.807,73.443,213.335,11.923,46917206.91,7.171
60,2,10262.106,24441.585,142.551,3947.029,51.574,7.77,19925941.002,5.803
61,2,10447.924,24884.492,58.929,259.179,174.663,9.696,31022452.184,14.887
62,2,10681.061,25217.461,163.099,6316.694,0,12.986,55655002.019,6.404
63,2,10739.894,24474.765,183.688,7663.306,0,9.18,27810596.721,5.538
64,2,10917.803,25566.202,191.482,7361.335,0,10.792,38434609.551,6.558
65,2,11062.548,24778.449,171.979,6470.627,0,7.509,18609776.814,5.266
66,2,11345.124,26116.563,203.162,9564.709,0,12.515,51690055.933,6.365
67,2,11400.646,26254.88,61.651,288.421,177.772,11.038,40209577.936,16.078
68,2,11613.165,25454.072,180.716,4506.688,59.132,6.718,14893125.075,6.923
69,2,11674.401,26624.202,255.938,15678.678,0,15.116,75403609.655,6.948
70,2,11993.276,25838.134,3.116,46.128,145.889,9.383,29055238.798,8.511
71,2,12027.852,27041.839,244.078,10448.679,0,5.729,10832167.82,5.578
72,2,12330.222,27020.511,191.532,6771.145,0,10.228,34522985.058,6.797
73,2,12394.478,26519.898,175.707,6860.075,0,14.797,72259352.222,7.326
74,2,12718.079,4799.755,146.247,3121.854,17.163,6.821,15355571.384,6.723
75,2,13580.176,3979.608,156.166,3770.826,0,8.153,21933956.654,6.956
76,2,13932.373,4387.962,203.106,4948.366,0,6.357,13334484.856,7.459
77,2,14919.149,3972.983,158.64,3766.309,0,8.564,24201186.215,7.295
78,2,15092.324,3471.471,198.954,10891.562,0,12.636,52691666.16,5.599
79,2,16054.561,3289.158,175.975,7817.736,0,13.93,64036476.255,6.35
80,2,29913.862,25150.036,153.147,3757.156,0,9.943,32626712.762,7.499
81,2,30442.695,25305.847,79.39,466.102,93.4,4.434,6487239.699,9.359
82,2,30636.484,24291.375,105.286,1210.185,126.923,9.267,28341874.101,9.889
83,2,30900.046,24967.205,138.079,3099.349,0,5.766,10973517.529,5.911
84,2,31352.008,23760.971,8.02,44.436,179.311,6.14,12442308.268,7.687
85,2,31856.509,23940.959,199.846,5743.272,0,10.791,38425849.429,8.53
86,2,32193.85,23138.334,120.036,1108.887,74.288,2.864,2707705.433,7.986
87,2,32492.198,23280.955,192.447,6271.532,0,5.554,10178545.208,5.668
88,2,32914.958,22276.794,210.725,7745.508,0,5.506,10007271.74,5.546
89,2,33165.406,21840.498,182.074,4246.438,19.535,8.002,21129837.028,7.904
90,2,33204.224,22678.04,165.945,4098.71,0,5.313,9316591.187,6.091
91,2,33440.154,21437.798,10.258,56.935,138.783,9.339,28780283.142,8.717
92,2,34090.579,21085.685,131.694,2587.807,0,4.141,5658158.414,5.763
93,3,3194.094,16633.736,184.446,8235.327,0,14.089,65513617.497,6.609
94,3,3235.73,16161.533,175.602,7078.746,0,16.214,86758244.586,7.587
95,3,4040.012,16268.773,176.591,9403.138,0,12.693,53172758.225,5.243
96,3,4393.563,16874.297,237.328,15986.548,0,7.422,18181026.13,4.408
97,3,4764.709,16845.338,226.399,13248.379,0,12.797,54046471.542,5.909
98,3,4943.039,16231.157,160.379,5152.579,15.562,12.906,54967083.086,7.317
99,3,5199.411,16805.877,236.528,16687.865,0,13.656,61547512.073,5.478
100,3,5805.023,16737.231,200.404,13016.824,0,6.654,14612427.728,3.956
101,3,5882.962,16177.832,202.581,12345.619,0,21.593,153873999.029,7.381
102,3,6679.213,16713.591,159.045,8217.844,0,14.933,73589448.597,5.423
103,3,7354.362,16593.064,39.743,159.015,201.27,14.427,68692973.84,17.265
104,3,10274.431,24370.247,189.967,7297.641,0,8.543,24083558.832,5.832
105,3,10628.424,25149.445,191.604,10059.936,0,13.2,57503301.691,5.757
106,3,10739.631,24475.252,177.632,7524.293,0,13.856,63362736.172,6.626
107,3,10893.887,25477.492,33.331,59.059,186.027,13.307,58441550.906,31.55
108,3,11279.266,25971.902,37.487,140.978,187.264,10.142,33945432.468,13.364
109,3,11367.323,26175.449,197.868,9144.906,0,17.214,97796047.347,7.782
110,3,11605.015,25412.437,245.563,11496.527,0,11.173,41199033.625,6.939
111,3,11666.878,26661.696,169.905,8993.186,0,20.846,143416333.369,6.996
112,3,11919.774,25759.557,3.416,118.959,142.516,10.561,36808903.553,4.317
113,3,12320.243,26370.01,160.355,5250.876,0,9.033,26927013.929,5.949
114,3,12713.418,4752.588,89.468,797.652,85.944,4.299,6099394.386,7.555
115,3,13571.039,4078.236,222.082,7304.856,0,8.589,24344397.645,7.325
116,3,13947.167,4421.409,167.395,3134.651,0,6.817,15334203.164,8.102
117,3,14329.751,3710.858,195.29,4280.627,0,7.727,19707000.452,8.571
118,3,14961.586,3987.864,24.381,74.957,132.713,13.127,56871114.435,16.713
119,3,15039.275,3439.441,2.033,130.646,222.424,11.866,46469942.072,4.198
120,3,15801.526,3744.978,138.677,2413.58,0,7.745,19798442.965,7.943
121,3,15947.924,3298.072,167.541,6490.768,0,11.731,45417403.556,6.168
122,3,29917.825,25111.691,60.322,213.318,102.582,3.914,5054369.716,10.742
123,3,29947.082,25374.08,58.447,154.742,83.477,5.115,8635568.852,14.794
124,3,30333.498,24695.463,251.299,8193.732,0,6.521,14033862.754,7.118
125,3,30461.144,25267.353,227.33,6376.038,0,6.202,12694278.379,7.235
126,3,30617.17,24308.79,95.551,1510.042,110.756,14.176,66323341.898,9.351
127,3,30800.354,24963.156,2.282,58.168,125.24,5.996,11863722.777,5.539
128,3,31254.572,23823.615,190.935,6490.999,0,11.312,42227174.396,7.399
129,3,31863.076,23960.527,145.929,3570.64,0,10.635,37327840.513,7.527
130,3,32425.011,23285.147,135.47,2186.903,55.559,3.328,3654579.854,6.327
131,3,32871.709,22232.208,157.182,4228.624,0,8.979,26608335.519,6.757
132,3,32813.03,23072.992,80.866,352.763,109.891,4.934,8035290.794,12.255
133,3,33120.342,21840.03,4.055,65.522,122.323,9.368,28962316.129,6.485
134,3,33218.822,22744.808,137.399,2691.073,0,7.719,19665395.139,7.22
135,3,33525.511,22238.652,190.012,3973.48,0,2.663,2340172.277,6.392
136,3,34048.919,21088.899,160.227,3304.77,0,9.077,27191489.917,8.443
137,4,3232.929,16157.992,288.627,17708.121,0,5.084,8531095.449,4.815
138,4,4378.271,16906.861,158.604,7966.239,0,9.786,31603660.103,4.511
139,4,4769.476,16877.576,199.634,10225.833,0,14.016,64834371.826,6.278
140,4,5166.118,16839.213,68.002,378.878,230.687,10.42,35832628.901,14.172
141,4,5314.34,16266.62,0.496,4.002,218.228,21.533,153011369.271,180.68
142,4,5801.594,16726.01,171.367,9958.791,0,18.561,113695582.708,5.994
143,4,6651.042,16682.316,200.251,11995.018,0,17.888,105594248.545,6.476
144,4,7363.835,16558.103,181.11,8728.706,0,17.942,106238209.442,7.179
145,4,7511.627,16080.669,6.356,60.725,198.968,13.435,59571528.096,9.365
146,4,10348.946,24480.414,103.778,773.224,151.616,8.247,22444673.36,12.955
147,4,10628.74,25159.888,189.707,9471.914,0,9.753,31388572.971,5.113
148,4,10741.234,24472.664,208.286,10080.145,0,7.379,17969960.385,5.018
149,4,10880.614,25519.195,3.575,86.933,169.872,12.114,48428498.883,5.998
150,4,11319.192,26111.487,183.096,7431.379,0,10.082,33543215.693,5.882
151,4,11618.347,25427.881,170.829,5760.539,0,12.211,49207435.01,7.147
152,4,11661.11,26674.514,64.449,565.537,209.513,15.241,76657197.81,12.209
153,4,11884.013,25844.484,297.738,15277.96,0,7.01,16217343.997,6.009
154,4,12131.808,27119.038,145.634,4115.525,0,6.979,16076452.36,5.582
155,4,12257.157,26307.465,221.928,8481.165,0,6.039,12035739.278,5.734
156,4,12370.877,26609.25,187.811,6293.144,0,9.434,29370440.012,6.691
157,4,12737.001,4795.199,104.907,937.098,105.29,7.092,16596203.228,10.297
158,4,12958.268,4241.669,7.005,72.61,100.512,8.089,21590900.012,5.925
159,4,13530.008,4030.791,50.9,128.074,135.519,4.05,5414176.72,12.581
160,4,13937.342,4410.58,236.176,5738.145,0,6.307,13126289.754,8.278
161,4,15065.921,3449.294,167.09,7762.687,0,6.158,12513110.554,4.279
162,4,16011.812,3272.054,116.575,2190.44,86.646,9.958,32723189.899,7.534
163,4,29913.134,25299.58,210.701,5820.796,0,12.044,47872621.918,9.889
164,4,30008.167,25013.91,251.73,8875.706,0,13.071,56380261.438,9.878
165,4,30624.882,24297.051,142.488,5078.099,0,15.029,74540406.42,6.744
166,4,30856.055,24978.449,36.714,102.382,105.134,5.091,8553182.862,11.013
167,4,31277.512,23793.847,201.943,7190.031,0,6.971,16036895.305,5.922
168,4,31998.754,23842.198,8.016,52.597,121.051,10.046,33305458.492,9.029
169,4,32142.649,23099.336,148.871,3394.334,0,9.786,31604376.312,7.703
170,4,32570.907,22634.108,156.811,3669.833,0,6.336,13247637.058,6.432
171,4,32508.768,23282.805,190.945,6211.488,0,10.659,37495502.048,7.402
172,4,32882.877,22220.845,153.919,3756.156,0,4.158,5705238.692,5.548
173,4,32806.631,23179.592,44.447,107.033,118.433,8.226,22331449.746,18.54
174,4,33204.441,21862.036,92.499,307.47,116.603,2.893,2761503.068,13.004
175,4,33220.778,22752.135,97.015,1026.643,47.329,5.625,10440766.485,7.742
176,4,33358.154,21565.897,160.164,4552.981,0,7.144,16841642.907,5.968
177,4,33518.621,22243.786,10.665,121.711,101.923,8.58,24296795.476,4.686
178,4,33828.446,21599.37,93.311,548.571,105.101,5.174,8835924.078,11.071
179,4,34068.63,21077.925,89.146,811.441,72.13,5.612,10395269.592,8.134
180,5,3193.388,16159.903,137.067,2970.209,92.703,7.698,19554437.425,6.691
181,5,3255.316,16677.541,103.578,1192.848,140.985,13.207,57565965.605,12.475
