"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,5341.869,32507.394,146.607,6374.561,0,4.66,7167752.453,3.937
2,1,5434.696,31942.729,81.174,749.097,239.477,8.959,26488522.169,9.54
3,1,5763.711,33201.369,5.05,70.63,229.289,12.525,51770949.617,7.528
4,1,5990.26,32409.312,238.28,12107.822,0,10.049,33324553.067,6.025
5,1,6118.241,33547.916,249.451,18203.721,0,16.759,92690674.463,6.298
6,1,6265.311,32776.74,169.126,8783.615,0,11.28,41991048.401,4.887
7,1,6470.504,33769.731,258.905,17600.153,0,10.644,37389938.487,5.307
8,1,6686.152,33297.887,227.689,13758.893,0,10.507,36435092.06,5.24
9,1,6879.89,34559.435,0.752,100.213,232.175,10.459,36100033.807,4.769
10,1,6984.923,33663.454,188.544,11025.323,0,21.85,157562787.563,7.259
11,1,7261.012,35139.248,243.853,16639.116,0,9.761,31443744.942,4.886
12,1,7427.537,34200.092,205.907,12400.498,0,16.868,93899052.768,6.341
13,1,7771.146,35617.174,197.37,9590.223,0,6.817,15336803.615,4.723
14,1,11085.882,7612.324,57.876,193.553,56.939,8.289,22674927.381,16.616
15,1,11342.111,6935.627,172.293,2858.711,0,4.713,7330144.767,7.792
16,1,12103.855,8226.027,170.36,3105.114,0,10.124,33823556.922,10.466
17,1,12414.769,10034.841,208.848,3576.494,0,5.233,9037370.714,9.003
18,1,13127.848,6045.442,137.572,4491.371,0,5.675,10629142.315,4.644
19,1,13590.09,5652.864,165.42,6904.609,0,9.159,27682348.042,5.144
20,1,13598.886,6313.968,10.044,156.329,252.976,11.408,42948749.043,4.363
21,1,13857.579,5543.335,85.965,346.337,214.667,6.087,12228151.267,15.314
22,1,13923.902,6145.514,218.347,11084.031,0,15.371,77974575.93,7.211
23,1,14045.766,24857.16,128.162,1381.361,0,1.923,1220521.539,7.214
24,1,14241.303,5360.908,5.064,138.876,265.778,11.072,40455266.731,4.059
25,1,14937.086,5088.504,199.158,12827.012,0,16.253,87177521.282,5.704
26,1,15203.246,5719.881,60.011,410.341,259.358,17.388,99781081.95,16.211
27,1,15658.177,4825.617,204.738,14400.555,0,16.29,87571760.249,5.438
28,1,15602.146,5440.309,4.195,81.677,256.93,9.252,28251565.504,5.435
29,1,15731.272,15009.717,133.809,1593.514,0,6.054,12095622.157,9.112
30,1,16418.489,5115.343,155.719,6184.175,70.224,10.09,33598697.13,5.326
31,1,16799.369,4226.638,234.103,16941.65,0,12.098,48300664.851,5.005
32,1,16983.216,4789.77,68.692,346.766,176.043,9.02,26848843.825,13.997
33,1,17328.866,4030.862,182.692,10889.11,0,16.034,84846810.007,5.624
34,1,17553.9,4535.742,246.121,14645.707,0,11.322,42303919.844,5.819
35,1,17921.339,3802.013,49.635,246.722,238.511,18.836,117088456.75,20.452
36,1,18035.168,15946.983,148.129,2309.288,0,3.489,4017161.834,6.851
37,1,18306.567,3835.661,186.225,9257.872,0,15.647,80801238.488,6.521
