"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,20718.527,21925.144,5.313,71.909,105.111,5.118,8644199.964,4.774
2,1,21155.876,22711.235,221.463,4459.607,0,2.405,1908108.046,7.019
3,1,21281.751,22170.094,8.614,50.727,144.467,4.377,6322572.131,6.217
4,1,21535.991,22305.781,64.631,201.965,120.419,10.493,36332247.757,23.036
5,1,21720.54,23083.299,42.415,76.349,87.53,4.345,6231115.366,15.148
6,1,22606.154,23101.788,177.388,3517.558,0,5.125,8666926.63,7.25
7,1,22627.765,23771.14,160.395,3419.665,0,7.826,20212407.622,7.623
8,1,23041.712,23278.407,3.542,25.899,95.65,5.549,10161676.386,9.877
9,1,23075.734,23958.386,72.866,266.795,78.523,7.101,16640542.45,16.243
10,1,23587.127,24201.606,75.726,262.363,61.111,4.548,6826149.96,13.384
11,1,23976.925,24337.923,94.557,335.547,53.956,4.469,6590820.024,15.164
12,1,23972.621,24043.007,194.619,4523.512,0,6.052,12087923.789,7.342
13,1,32243.347,5429.748,164.153,5945.751,0,8.328,22889134.815,5.441
14,1,32605.87,5118.134,156.422,4453.897,0,5.763,10961271.632,5.484
15,1,32910.191,5687.891,147.229,5841.14,0,11.982,47376986.799,5.563
16,1,32995.729,4978.411,201.488,8692.686,0,5.914,11543191.584,4.968
17,1,33484.877,4869.928,151.691,7155.479,0,14.029,64947033.836,5.422
18,1,33787.008,5589.509,175.393,7771.183,0,8.145,21891239.378,4.914
19,1,33897.992,23842.278,173.179,3835.668,0,7.105,16660903.071,7.487
20,1,33878.347,24182.646,66.685,339.207,105.461,6.9,15711348.193,11.453
21,1,34396.567,24257.901,233.431,10169.095,0,9.002,26743363.84,6.31
22,1,34590.222,4745.34,177.635,6702.596,0,8.02,21228741.361,5.499
23,1,34960.15,23998.467,3.888,71.893,134.394,10.229,34526844.1,6.329
24,1,35094.807,24658.11,162.707,5211.619,0,5.304,9285822.032,5.113
25,1,35180.688,4722.262,194.234,5649.943,63.212,10.796,38463087.258,8.261
26,1,35119.735,5365.437,5.756,106.957,237.741,13.003,55801040.689,5.549
27,1,35638.134,4698.445,155.468,6141.135,0,13.777,62635814.866,6.291
28,1,35615.174,24237.65,172.568,5505.189,0,17.972,106597305.962,9.889
29,1,35901.614,25045.646,303.534,15125.517,0,6.909,15751026.006,6.178
30,1,36159.82,4797.334,6.41,108.705,157.128,10.492,36326966.926,4.911
31,1,36481.942,25285.463,7.658,82.205,209.117,10.064,33423960.833,6.189
32,1,36744.683,5544.331,187.848,5462.986,0,6.385,13455026.89,6.275
33,1,37074.785,4909.474,199.671,7142.07,0,4.869,7823744.615,5.303
34,1,37274.384,5455.074,142.011,2056.437,38.439,5.414,9674806.787,7.892
35,1,37304.758,24858.95,147.936,4509.037,0,17.497,101027268.355,8.839
36,1,37319.494,25543.286,183.075,6298.221,0,9.903,32366980.851,6.598
37,1,37839.763,25042.194,4.471,89.546,167.505,11.375,42702459.931,5.723
38,1,37840.291,25680.635,3.505,83.689,123.562,10.165,34102428.591,5.55
39,1,38270.832,25169.489,178.609,5093.882,0,13.923,63975159.14,9.283
40,1,38468.168,25897.986,77.484,348.711,124.433,6.6,14373366.491,13.651
41,1,38586.488,25321.37,149.612,2552.127,53.018,11.522,43813649.581,10.87
42,1,38829.167,25652.736,163.321,3714.898,0,5.833,11228728.057,6.545
43,2,20654.705,22003.068,191.047,4894.202,0,3.846,4881294.451,6.023
44,2,21350.661,22178.382,28.382,76.375,133.328,7.344,17800905.102,12.638
45,2,21732.015,23100.214,193.249,4228.246,0,1.9,1191874.694,6.116
46,2,22561,23041.145,9.253,20.126,88.283,8.563,24200235.462,19.473
47,2,22622.923,23782.555,129.316,2599.361,0,7.193,17074113.672,6.592
48,2,23119.462,23356.672,10.363,111.131,86.281,5.766,10970413.533,4.285
49,2,23082.589,23906.939,207.682,4975.699,0,3.417,3853861.801,6.44
50,2,23520.676,23599.598,7.719,52.915,83.201,11.453,43291610.804,9.774
51,2,32229.505,5412.489,169.746,6445.017,0,9.127,27487872.178,5.592
52,2,33089.443,4976.64,203.705,8449.06,0,10.494,36339547.177,6.387
53,2,33519.528,4876.988,3.466,147.774,238.907,16.858,93791295.646,4.794
54,2,33871.611,5605.846,122.18,2389.788,109.864,12.577,52199268.036,8.73
55,2,33917.777,24165.555,171.486,4540.083,0,11.17,41178921.888,8.25
56,2,34465.399,5427.08,197.681,9396.143,0,7.381,17981274.876,4.909
57,2,34423.67,23845.763,200.254,6096.9,0,6.611,14423501.116,6.427
58,2,34397.811,24320.573,5.769,112.605,138.007,10.593,37031657.915,4.726
59,2,34664.24,4776.24,204.94,9186.903,0,6.326,13205216.825,4.987
60,2,34922.474,23995.06,194.062,5725.216,0,7.442,18277428.842,6.737
61,2,35101.055,24653.192,173.348,5913.8,0,14.373,68176779.373,7.954
62,2,35186.119,5397.918,56.37,321.428,230.656,18.088,107972765.208,18.98
63,2,35554.557,4730.526,174.101,7790.439,0,8.022,21236697.345,4.833
64,2,35572.405,24198.096,225.092,8642.058,0,10.231,34544024.364,7.21
65,2,35903.415,25052.11,82.224,614.88,125.119,5.011,8286459.752,8.479
66,2,36111.749,4785.971,68.245,278.172,122.841,10.721,37934515.022,19.187
67,2,36213.192,5504.306,270.106,11003.963,0,2.889,2754561.759,5.404
68,2,36453.664,25276.429,164.237,5431.049,0,2.406,1910185.286,4.579
69,2,36547.732,4855.544,48.615,144.577,137.899,9.594,30375804.272,18.313
70,2,36567.943,24675.631,279.201,17398.729,0,7.65,19315711.812,5.204
71,2,36712.776,5556.237,43.783,130.159,159.471,9.347,28833643.07,16.823
72,2,36961.088,24769.106,57.541,184.582,181.233,15.249,76735310.87,28.527
73,2,37165.613,4957.795,217.001,8916.636,0,8.412,23349813.404,6.062
74,2,37222.324,24843.328,120.632,2182.293,67.534,13.691,61858212.298,9.794
75,2,37254.439,25500.511,178.8,5597.678,0,8.867,25945316.335,6.588
76,2,37498.444,5236.63,155.748,3743.848,0,6.649,14591101.903,6.398
77,2,37760.012,25610.503,253.079,9978.157,0,9.01,26792638.89,7.216
78,2,37949.993,25079.931,113.286,1470.584,76.401,2.932,2836693.018,6.376
79,2,38478.758,25843.521,4.02,98.174,135.802,8.919,26251496.219,4.632
80,2,38596.073,25286.695,144.113,4878.299,0,11.24,41695950.157,5.977
81,2,38849.423,25630.439,110.663,991.699,43.018,1.265,528256.777,7.204
82,3,13651.898,18396.611,46.477,83.533,33.143,4.348,6239273.268,15.933
83,3,20642.345,22008.58,169.493,3786.936,0,4.023,5340330.838,6.145
84,3,21440.869,22240.912,5.836,108.987,148.673,10.166,34108289.87,4.75
85,3,21759.994,23081.112,0.638,35.257,96.905,4.484,6634194.258,6.93
86,3,22568.587,23036.933,163.799,3128.751,0,6.93,15849412.847,7.924
87,3,22629.736,23769.477,55.257,231.507,86.605,5.839,11251048.014,10.777
88,3,23004.502,23936.304,72.807,302.484,73.136,4.569,6887906.61,11.442
89,3,23399.407,23491.06,159.985,3443.575,0,7.785,20002386.901,7.536
90,3,32236.008,5361.694,5.017,129.154,162.167,7.379,17968481.441,3.62
91,3,32908.144,5663.014,177.419,9485.596,0,14.573,70089831.953,5.662
92,3,33038.709,5031.089,5.793,52.931,180.897,5.665,10591774.098,6.142
93,3,33553.907,4860.974,108.143,1720.576,142.91,7.416,18150037.005,6.986
94,3,33818.29,5594.524,229.317,12034.126,0,10.511,36458850.666,5.846
95,3,33964.409,4809.084,157.931,4655.438,0,11.306,42187820.082,7.151
96,3,33977.643,23836.669,245.235,6627.33,0,4.13,5628335.308,6.869
97,3,33993.317,24201.413,48.106,112.32,129.605,7.379,17971143.976,18.437
98,3,34387.284,24313.874,176.938,5677.713,0,5.077,8508080.036,5.318
99,3,34431.995,5444.98,194.714,8435.251,0,12.64,52722910.818,6.616
100,3,34511.96,23828.368,146.211,3709.622,0,9.147,27610786.932,6.76
101,3,34697.428,4759.004,199.769,8156.282,0,5.67,10608315.103,5.062
102,3,35025.875,24621.564,90.02,660.469,110.361,5.287,9225922.289,9.298
103,3,35264.128,5385.425,255.347,15030.464,0,3.027,3023730.021,4.31
104,3,35457.297,24160.681,192.805,6562.214,0,15.127,75521155.57,9.026
105,3,35547.996,4737.017,205.798,9839.243,0,14.521,69585752.599,6.956
106,3,35803.507,5446.435,176.858,5725.645,0,11.376,42710187.686,7.272
